DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindSpeed
2019-01-01T00:53:00,29.96,31,45,0,,-0.04,1,58,29.61,10,39,20,3
2019-01-01T01:53:00,29.96,26,44,0,,,,49,29.61,10,37,40,5
2019-01-01T02:53:00,29.97,24,43,0,,,,47,29.62,10,36,30,5
2019-01-01T03:53:00,29.98,22,41,0,,-0.03,3,47,29.63,10,34,0,0
2019-01-01T04:53:00,30,19,43,0,,,,38,29.65,10,34,30,5
2019-01-01T05:53:00,30.03,19,42,0,,,,40,29.67,10,34,360,3
2019-01-01T06:53:00,30.07,16,44,0,,-0.08,3,32,29.72,10,34,VRB,6
2019-01-01T07:53:00,30.11,16,46,0,,,,30,29.75,10,35,50,6
2019-01-01T08:53:00,30.13,18,50,0,,,,28,29.78,10,38,20,6
2019-01-01T09:53:00,30.14,15,53,0,,-0.07,1,22,29.78,10,39,20,7
2019-01-01T10:53:00,30.11,16,56,0,,,,21,29.75,10,41,20,7
2019-01-01T11:53:00,30.08,13,57,0,,,,17,29.72,10,41,10,5
2019-01-01T12:53:00,30.06,9,58,0,,0.08,6,14,29.7,10,40,350,9
2019-01-01T13:53:00,30.05,11,60,0,,,,14,29.7,10,42,VRB,5
2019-01-01T14:53:00,30.07,12,60,0,,,,15,29.72,10,42,40,8
2019-01-01T15:53:00,30.08,11,57,0,,-0.02,3,16,29.72,10,40,100,8
2019-01-01T16:53:00,30.09,11,54,0,,,,18,29.73,10,39,120,8
2019-01-01T17:53:00,30.11,16,51,0,,,,25,29.75,10,38,100,3
2019-01-01T18:53:00,30.12,16,48,0,,-0.04,3,28,29.77,10,36,150,3
2019-01-01T19:53:00,30.13,20,44,0,,,,38,29.78,10,35,0,0
2019-01-01T20:53:00,30.14,15,44,0,,,,31,29.78,10,34,30,3
2019-01-01T21:53:00,30.15,16,43,0,,-0.02,2,34,29.8,10,33,0,0
2019-01-01T22:53:00,30.14,15,43,0,,,,32,29.78,10,33,50,5
2019-01-01T23:53:00,30.13,12,45,0,,,,26,29.78,10,34,80,8
2019-01-02T00:53:00,30.13,12,44,0,,0.02,7,27,29.78,10,33,20,5
2019-01-02T01:53:00,30.14,14,42,0,,,,32,29.78,10,32,0,0
2019-01-02T02:53:00,30.12,11,45,0,,,,25,29.77,10,34,0,0
2019-01-02T03:53:00,30.1,13,43,0,,0.02,8,29,29.75,10,33,20,5
2019-01-02T04:53:00,30.12,16,39,0,,,,39,29.77,10,31,80,5
2019-01-02T05:53:00,30.14,11,44,0,,,,26,29.78,10,33,20,8
2019-01-02T06:53:00,30.18,11,44,0,,-0.08,3,26,29.83,10,33,60,7
