DATE,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature
2015-01-01T23:59:00,48,57,38
2015-01-02T23:59:00,48,57,38
2015-01-03T23:59:00,51,60,42
2015-01-04T23:59:00,53,63,42
2015-01-05T23:59:00,62,77,47
2015-01-06T23:59:00,67,83,50
2015-01-07T23:59:00,62,74,50
2015-01-08T23:59:00,62,69,54
2015-01-09T23:59:00,60,66,54
2015-01-10T23:59:00,60,69,51
2015-01-11T23:59:00,58,60,56
2015-01-12T23:59:00,59,65,52
2015-01-13T23:59:00,58,64,52
2015-01-14T23:59:00,59,71,47
2015-01-15T23:59:00,61,74,48
2015-01-16T23:59:00,59,70,47
2015-01-17T23:59:00,61,71,50
2015-01-18T23:59:00,62,72,51
2015-01-19T23:59:00,57,65,48
2015-01-20T23:59:00,55,58,51
2015-01-21T23:59:00,59,64,53
2015-01-22T23:59:00,60,75,45
2015-01-23T23:59:00,61,74,47
2015-01-24T23:59:00,66,82,50
2015-01-25T23:59:00,67,82,52
2015-01-26T23:59:00,65,74,55
2015-01-27T23:59:00,61,70,52
2015-01-28T23:59:00,64,75,52
2015-01-29T23:59:00,66,72,59
2015-01-30T23:59:00,61,65,57
2015-01-31T23:59:00,59,65,52
2015-02-01T23:59:00,60,70,50
2015-02-02T23:59:00,59,69,49
2015-02-03T23:59:00,57,67,46
2015-02-04T23:59:00,57,64,49
2015-02-05T23:59:00,59,68,49
2015-02-06T23:59:00,60,72,48
2015-02-07T23:59:00,58,69,47
2015-02-08T23:59:00,65,73,56
2015-02-09T23:59:00,61,68,54
2015-02-10T23:59:00,59,67,50
2015-02-11T23:59:00,69,83,54
2015-02-12T23:59:00,72,87,57
2015-02-13T23:59:00,70,83,57
2015-02-14T23:59:00,70,82,58
2015-02-15T23:59:00,65,74,56
2015-02-16T23:59:00,57,63,50
2015-02-17T23:59:00,60,64,56
2015-02-18T23:59:00,61,65,56
2015-02-19T23:59:00,59,64,53
2015-02-20T23:59:00,62,66,58
2015-02-21T23:59:00,63,67,59
2015-02-22T23:59:00,59,63,54
2015-02-23T23:59:00,57,63,51
2015-02-24T23:59:00,57,67,47
2015-02-25T23:59:00,58,66,49
2015-02-26T23:59:00,56,65,47
2015-02-27T23:59:00,59,65,53
2015-02-28T23:59:00,59,63,54
2015-03-01T23:59:00,54,56,52
2015-03-02T23:59:00,54,58,49
2015-03-03T23:59:00,54,63,45
2015-03-04T23:59:00,56,66,46
2015-03-05T23:59:00,58,69,46
2015-03-06T23:59:00,65,81,48
2015-03-07T23:59:00,67,82,51
2015-03-08T23:59:00,61,70,52
2015-03-09T23:59:00,60,64,55
2015-03-10T23:59:00,62,72,51
2015-03-11T23:59:00,64,71,56
2015-03-12T23:59:00,65,74,55
2015-03-13T23:59:00,75,90,60
2015-03-14T23:59:00,78,93,63
2015-03-15T23:59:00,78,91,65
2015-03-16T23:59:00,76,88,64
2015-03-17T23:59:00,69,77,61
2015-03-18T23:59:00,65,69,60
2015-03-19T23:59:00,64,69,59
2015-03-20T23:59:00,63,69,57
2015-03-21T23:59:00,63,68,58
2015-03-22T23:59:00,63,67,58
2015-03-23T23:59:00,61,67,55
2015-03-24T23:59:00,61,68,54
2015-03-25T23:59:00,64,72,56
2015-03-26T23:59:00,71,84,58
2015-03-27T23:59:00,71,83,58
2015-03-28T23:59:00,64,71,56
2015-03-29T23:59:00,65,71,58
2015-03-30T23:59:00,63,70,55
2015-03-31T23:59:00,63,68,57
2015-04-01T23:59:00,65,69,60
2015-04-02T23:59:00,63,68,57
2015-04-03T23:59:00,67,80,54
2015-04-04T23:59:00,67,77,56
2015-04-05T23:59:00,64,68,59
2015-04-06T23:59:00,59,63,55
2015-04-07T23:59:00,57,64,50
2015-04-08T23:59:00,58,64,52
2015-04-09T23:59:00,60,67,52
2015-04-10T23:59:00,59,65,53
2015-04-11T23:59:00,59,66,52
2015-04-12T23:59:00,61,68,54
2015-04-13T23:59:00,63,68,58
2015-04-14T23:59:00,64,68,59
2015-04-15T23:59:00,63,71,54
2015-04-16T23:59:00,67,80,53
2015-04-17T23:59:00,65,76,54
2015-04-18T23:59:00,63,72,53
2015-04-19T23:59:00,62,67,56
2015-04-20T23:59:00,62,65,59
2015-04-21T23:59:00,63,67,59
2015-04-22T23:59:00,61,65,57
2015-04-23T23:59:00,62,66,58
2015-04-24T23:59:00,60,63,57
2015-04-25T23:59:00,61,63,58
2015-04-26T23:59:00,62,67,56
2015-04-27T23:59:00,67,79,54
2015-04-28T23:59:00,69,79,58
2015-04-29T23:59:00,71,83,58
2015-04-30T23:59:00,68,77,59
2015-05-01T23:59:00,67,75,59
2015-05-02T23:59:00,65,70,59
2015-05-03T23:59:00,63,66,60
2015-05-04T23:59:00,62,65,58
2015-05-05T23:59:00,62,65,59
2015-05-06T23:59:00,61,64,58
2015-05-07T23:59:00,60,62,57
2015-05-08T23:59:00,57,62,51
2015-05-09T23:59:00,60,65,54
2015-05-10T23:59:00,61,67,55
2015-05-11T23:59:00,63,68,58
2015-05-12T23:59:00,61,66,56
2015-05-13T23:59:00,60,64,56
2015-05-14T23:59:00,61,65,56
2015-05-15T23:59:00,60,65,55
2015-05-16T23:59:00,61,65,56
2015-05-17T23:59:00,61,66,56
2015-05-18T23:59:00,63,66,59
2015-05-19T23:59:00,61,66,56
