date,rainfall
01-01-2010,2.9
02-01-2010,10.2
03-01-2010,0.9
04-01-2010,48.6
05-01-2010,9.6
06-01-2010,0.0
07-01-2010,29.0
08-01-2010,17.1
09-01-2010,0.0
10-01-2010,0.0
11-01-2010,0.0
12-01-2010,0.0
13-01-2010,8.4
14-01-2010,5.0
15-01-2010,7.0
16-01-2010,8.0
17-01-2010,0.1
18-01-2010,2.6
19-01-2010,0.0
20-01-2010,2.7
21-01-2010,0.0
22-01-2010,0.0
23-01-2010,0.0
24-01-2010,0.8
25-01-2010,4.0
26-01-2010,0.0
27-01-2010,1.0
28-01-2010,20.0
29-01-2010,31.4
30-01-2010,1.2
31-01-2010,3.7
01-02-2010,0.0
02-02-2010,15.1
03-02-2010,0.0
04-02-2010,0.0
05-02-2010,55.2
06-02-2010,0.0
07-02-2010,0.0
08-02-2010,0.0
09-02-2010,25.1
10-02-2010,0.0
11-02-2010,50.9
12-02-2010,3.3
13-02-2010,7.4
14-02-2010,0.9
15-02-2010,15.0
16-02-2010,3.4
17-02-2010,1.3
18-02-2010,6.3
19-02-2010,190.0
20-02-2010,3.6
21-02-2010,0.0
22-02-2010,0.0
23-02-2010,0.0
24-02-2010,78.0
25-02-2010,0.0
26-02-2010,0.0
27-02-2010,0.0
28-02-2010,0.0
01-03-2010,2.0
02-03-2010,0.0
03-03-2010,0.0
04-03-2010,35.7
05-03-2010,0.1
06-03-2010,0.0
07-03-2010,0.0
08-03-2010,10.0
09-03-2010,1.4
10-03-2010,10.0
11-03-2010,19.5
12-03-2010,0.2
13-03-2010,24.0
14-03-2010,15.2
15-03-2010,35.9
16-03-2010,21.9
17-03-2010,0.0
18-03-2010,0.0
19-03-2010,0.0
20-03-2010,60.0
21-03-2010,0.0
22-03-2010,4.8
23-03-2010,19.7
24-03-2010,8.9
25-03-2010,0.0
26-03-2010,0.0
27-03-2010,17.9
28-03-2010,10.0
29-03-2010,0.0
30-03-2010,19.9
31-03-2010,0.0
01-04-2010,0.0
02-04-2010,2.9
